496321,"IGAE (actividades terciarias, legislativas)",INEGI,Indicador Global de la Actividad Economica,Mensual
15166,Industria automotriz Produccion de vehiculos automotores Total,INEGI,Registro Administrativo de la Industria Automotriz,Mensual
15167,Industria automotriz Produccion de vehiculos automotores Automoviles,INEGI,Registro Administrativo de la Industria Automotriz,Mensual
15168,"Industria automotriz Produccion de vehiculos automotores Camiones, tractocamiones y autobuses integrales",INEGI,Registro Administrativo de la Industria Automotriz,Mensual
15169,Industria automotriz Venta al publico de automoviles y camiones  Automoviles Total,INEGI,Registro Administrativo de la Industria Automotriz,Mensual
119328,Industria automotriz Venta al publico de automoviles y camiones  Camiones por categorias  Total,INEGI,Registro Administrativo de la Industria Automotriz,Mensual
652372,Personal Ocupado (EMIM),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
652540,Horas hombre trabajadas (EMIM),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
652708,Remuneraciones medias reales totales,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
496746,Inversión Fija Bruta,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
628194,Indice de Precios al Consumidor,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
673095,Indice de Precios al Productor S/ petroleo y servicios,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
673096,Indice de Precios al Productor C/ petroleo y servicios,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
697758,Indicador de Confianza Empresarial,INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
631427,Indicador de Confianza Empresarial (sector manufacturero),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
631264,Indicador de Confianza Empresarial (sector construcción),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
631808,Indicador de Confianza Empresarial (sector servicios),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
631683,Indicador de Confianza Empresarial (sector comercio),INEGI,Encuesta Mensual de la Industria Manufacturera,Mensual
0000,f,f,f,f,57cd04de-02ae-42f8-bc8f-ef069b6452ca
00000,Prueba0.2,INEGI,Prueba 0.2,Mensual,468c659b-6f3f-400d-93f2-22e64f1a6a14
0000,Prueba03,INEGI,Prueba 0.3,Mensual
